t,u,e
109.6001,1.34769393939,-0.0980843917975
109.7001,1.34674082196,-0.098315365668
109.8001,1.34578873436,-0.0985452489445
109.9001,1.34483778681,-0.0987739960022
110.0001,1.34388809149,-0.0990015611453
110.1001,1.34293973979,-0.0992279044534
110.2001,1.34199273694,-0.0994530084975
110.3001,1.34104725925,-0.0996768125045
110.4001,1.34010341145,-0.0998992744684
110.5001,1.33916129905,-0.100120352627
110.6001,1.33822102832,-0.100340005463
110.7001,1.33728270635,-0.100558191703
110.8001,1.33634630636,-0.100774885672
110.9001,1.33541177119,-0.1009900655
111.0001,1.33447930584,-0.101203679738
111.1001,1.33354897799,-0.10141569294
111.2001,1.33262085263,-0.101626070296
111.3001,1.33169499207,-0.101834777639
111.4001,1.33077145592,-0.102041781437
111.5001,1.3298503044,-0.102247050287
111.6001,1.32893159229,-0.102450552188
111.7001,1.32801537054,-0.102652255244
111.8001,1.32710168866,-0.102852128781
111.9001,1.32619059354,-0.103050142785
112.0001,1.32528212945,-0.10324626791
112.1001,1.32437633801,-0.103440475471
112.2001,1.32347375973,-0.103632726193
112.3001,1.3225742592,-0.103822996574
112.4001,1.32167789678,-0.104011259323
112.5001,1.32078477436,-0.10419748682
112.6001,1.31989499683,-0.104381651984
112.7001,1.31900867212,-0.10456372827
112.8001,1.31812583084,-0.104743695564
112.9001,1.31724602506,-0.104921569641
113.0001,1.31636964748,-0.105097305323
113.1001,1.31549673847,-0.105270884053
113.2001,1.31462733468,-0.105442288309
113.3001,1.31376146898,-0.105611501598
113.4001,1.31289917055,-0.105778508462
113.5001,1.3120404137,-0.105943311957
113.6001,1.31118517568,-0.106105915636
113.7001,1.3103335607,-0.106266279563
113.8001,1.30948560064,-0.106424388056
113.9001,1.30864132738,-0.106580225431
114.0001,1.30780077279,-0.106733776008
114.1001,1.30696396875,-0.106885024103
114.2001,1.30613097573,-0.107034019442
114.3001,1.30530183021,-0.107180756865
114.4001,1.30447655291,-0.107325195156
114.5001,1.30365517834,-0.107467324642
114.6001,1.30283774098,-0.10760713565
114.7001,1.30202427536,-0.107744618507
114.8001,1.30121481598,-0.10787976354
114.9001,1.30040928453,-0.108012637763
115.0001,1.29960775942,-0.108143201664
115.1001,1.29881028242,-0.108271440622
115.2001,1.29801688091,-0.108397349822
115.3001,1.29722758222,-0.108520924448
115.4001,1.29644241374,-0.108642159686
115.5001,1.29566135962,-0.10876106358
115.6001,1.29488400265,-0.108877763693
115.7001,1.29411064421,-0.108992173621
115.8001,1.29334128446,-0.109104296643
115.9001,1.29257592358,-0.109214136039
116.0001,1.29181456175,-0.109321695087
116.1001,1.29105719915,-0.109426977066
116.2001,1.29030376665,-0.109530019676
116.3001,1.2895541386,-0.109630888693
116.4001,1.28880840981,-0.109729540397
116.5001,1.28806656804,-0.109825984228
116.6001,1.28732860107,-0.109920229627
116.7001,1.28659449667,-0.110012286033
116.8001,1.28586424261,-0.110102162888
116.9001,1.28513780275,-0.110189926433
