t,i
36.0001,-0.00543440259852
36.1001,-0.00675001040549
36.2001,-0.00797269113213
36.3001,-0.00909211970989
36.4001,-0.0100993880988
36.5001,-0.0109866379221
36.6001,-0.0117476593942
36.7001,-0.0123773523212
36.8001,-0.0128719817274
36.9001,-0.0132294896001
37.0001,-0.0134489241469
37.1001,-0.0135310706432
37.2001,-0.0134777503138
37.3001,-0.0132920533172
37.4001,-0.0129785931081
37.5001,-0.0125429011152
37.6001,-0.0119919087866
37.7001,-0.0113332672532
37.8001,-0.0105755091881
37.9001,-0.00972820511992
38.0001,-0.00880147890798
38.1001,-0.00780620811769
38.2001,-0.0067535299383
38.3001,-0.0056548972674
38.4001,-0.00452213348485
38.5001,-0.00336717597117
38.6001,-0.00220193883905
38.7001,-0.00103811466607
38.8001,0.000112886934536
38.9001,0.00123995937046
39.0001,0.00233228813598
39.1001,0.00337979606072
39.2001,0.00437301437772
39.3001,0.00530324686787
39.4001,0.00616262221333
39.5001,0.00694384400373
39.6001,0.00764084298338
39.7001,0.00824836981682
39.8001,0.0087622229651
39.9001,0.00917929094017
40.0001,0.00949714422774
40.1001,0.00971475203463
40.2001,0.00983193247311
40.3001,0.00984957571023
40.4001,0.00976963331686
40.5001,0.00959462971963
40.6001,0.00932836593717
40.7001,0.00897511251717
40.8001,0.0085401217401
40.9001,0.00802923457884
41.0001,0.00744898792545
41.1001,0.00680647827156
41.2001,0.00610934687962
41.3001,0.0053655197445
41.4001,0.00458330633017
41.5001,0.00377124821971
41.6001,0.00293803832986
41.7001,0.00209232615767
41.8001,0.0012427102242
41.9001,0.000397592987474
42.0001,-0.000434702711827
42.1001,-0.00124628064469
42.2001,-0.00202949713741
42.3001,-0.0027771093345
42.4001,-0.00348247992242
42.5001,-0.00413938490877
42.6001,-0.00474231775324
42.7001,-0.00528638575085
42.8001,-0.00576734103036
42.9001,-0.0061816939223
43.0001,-0.00652665376841
43.1001,-0.00680020442821
43.2001,-0.00700104996761
43.3001,-0.0071286666559
43.4001,-0.00718323712031
43.5001,-0.0071656752637
43.6001,-0.00707758034043
43.7001,-0.00692121296211
43.8001,-0.00669947190788
43.9001,-0.00641580880817
44.0001,-0.00607424322647
44.1001,-0.00567929712696
44.2001,-0.00523594234083
44.3001,-0.00474959548506
44.4001,-0.0042260011817
44.5001,-0.00367088665524
44.6001,-0.00309048195193
44.7001,-0.00249105654568
44.8001,-0.00187889695567
44.9001,-0.00126036297023
45.0001,-0.00064172084463
45.1001,-2.90459280303e-05
45.2001,0.000571711493598
45.3001,0.00115484958831
45.4001,0.00171490011681
45.5001,0.00224684207885
45.6001,0.00274597502995
45.7001,0.00320793903559
45.8001,0.00362899920632
45.9001,0.00400579427927
46.0001,0.00433537833552
46.1001,0.00461555423892
46.2001,0.00484450471562
46.3001,0.00502088381859
46.4001,0.0051441349166
46.5001,0.00521404560542
46.6001,0.00523089641599
46.7001,0.00519572651126
46.8001,0.00510984887062
46.9001,0.0049750561154
47.0001,0.00479379798469
47.1001,0.00456870853045
47.2001,0.00430284910816
47.3001,0.00399978225692
47.4001,0.00366316027448
47.5001,0.00329696949927
47.6001,0.00290550993195
47.7001,0.00249308256942
47.8001,0.00206419038154
47.9001,0.00162345602657
48.0001,0.00117542802239
48.1001,0.000724692925416
48.2001,0.00027577892466
48.3001,-0.000166914445469
48.4001,-0.00059913503005
48.5001,-0.0010168331972
48.6001,-0.00141611681169
48.7001,-0.0017934348883
48.8001,-0.00214553363441
48.9001,-0.00246932862094
49.0001,-0.00276224799192
49.1001,-0.00302206119603
49.2001,-0.00324671823512
49.3001,-0.00343478895622
49.4001,-0.00358519766634
49.5001,-0.00369704827988
49.6001,-0.00377010981357
49.7001,-0.00380448439161
49.8001,-0.00380044210412
49.9001,-0.00375890072347
50.0001,-0.00368106095596
50.1001,-0.00356826842729
50.2001,-0.00342244253886
50.3001,-0.0032457142768
50.4001,-0.00304032451702
50.5001,-0.0028089688535
50.6001,-0.00255447095791
50.7001,-0.00227971837454
50.8001,-0.00198790330333
50.9001,-0.00168226006376
51.0001,-0.00136603118496
51.1001,-0.00104259951129
51.2001,-0.000715310299469
51.3001,-0.000387453746485
51.4001,-6.22989126883e-05
51.5001,0.000256988745901
51.6001,0.000567365732675
51.7001,0.00086595335425
51.8001,0.00115002324081
51.9001,0.00141703500584
52.0001,0.00166472626446
52.1001,0.00189101004651
52.2001,0.00209404754152
52.3001,0.00227235176368
52.4001,0.00242461434198
52.5001,0.00254982332062
52.6001,0.00264734969733
52.7001,0.00271672614852
52.8001,0.0027578123653
52.9001,0.00277084029868
53.0001,0.00275617156677
53.1001,0.00271450267263
53.2001,0.0026468550076
53.3001,0.00255433777974
53.4001,0.00243837649559
53.5001,0.00230064683906
53.6001,0.00214286589506
53.7001,0.00196702040574
53.8001,0.00177525628697
53.9001,0.00156971757381
54.0001,0.0013527429055
54.1001,0.00112673528846
54.2001,0.000894060367816
54.3001,0.000657178612045
54.4001,0.000418527391585
54.5001,0.000180484569611
54.6001,-5.45997234657e-05
54.7001,-0.000284461967776
54.8001,-0.000506918805097
54.9001,-0.000719929947014
55.0001,-0.0009215893024
55.1001,-0.00111009399105
55.2001,-0.00128387530631
55.3001,-0.0014415276905
55.4001,-0.00158173828748
55.5001,-0.00170351150016
55.6001,-0.00180602228045
55.7001,-0.0018885855062
55.8001,-0.00195083247979
55.9001,-0.00199256842025
56.0001,-0.0020137088566
56.1001,-0.0020145171633
56.2001,-0.00199540029528
56.3001,-0.00195688015346
56.4001,-0.0018997837885
56.5001,-0.00182505080241
56.6001,-0.00173371359447
56.7001,-0.00162706022285
56.8001,-0.001506449635
56.9001,-0.00137331144982
57.0001,-0.00122925353349
57.1001,-0.00107591372932
57.2001,-0.000914967145262
57.3001,-0.00074818481107
57.4001,-0.000577328285017
57.5001,-0.000404156177997
57.6001,-0.000230440516062
57.7001,-5.79093953584e-05
57.8001,0.00011175790879
57.9001,0.000276942399095
58.0001,0.000436096887403
58.1001,0.000587771208232
58.2001,0.000730633972876
58.3001,0.000863405128
58.4001,0.000984989835338
58.5001,0.00109441010619
58.6001,0.00119081751858
58.7001,0.00127354506831
58.8001,0.0013420242871
58.9001,0.00139584954897
59.0001,0.00143480257744
59.1001,0.0014587752949
59.2001,0.00146785828576
59.3001,0.00146226530179
59.4001,0.00144230783352
59.5001,0.00140850517105
59.6001,0.00136139165873
59.7001,0.00130172187206
59.8001,0.00123032125645
59.9001,0.00114814118578
60.0001,0.00105622590471
60.1001,0.000955612540657
60.2001,0.000847538433075
60.3001,0.00073315579703
60.4001,0.000613797246547
60.5001,0.000490713746698
60.6001,0.000365180126228
60.7001,0.000238544523089
60.8001,0.000112041643754
60.9001,-1.29782922067e-05
61.0001,-0.000135380308452
61.1001,-0.000253978595997
61.2001,-0.00036770348462
61.3001,-0.000475540942229
61.4001,-0.000576533682621
61.5001,-0.000669853024025
61.6001,-0.000754690555143
61.7001,-0.000830406897288
61.8001,-0.000896399054372
61.9001,-0.000952200556574
62.0001,-0.000997473087637
62.1001,-0.0010319448655
62.2001,-0.00105551019323
62.3001,-0.00106813374566
62.4001,-0.00106990722085
62.5001,-0.00106103121596
62.6001,-0.00104188936168
62.7001,-0.00101284720957
62.8001,-0.000974337773781
62.9001,-0.00092709509698
63.0001,-0.000871593181156
63.1001,-0.000808601976371
63.2001,-0.000738754347055
63.3001,-0.000663013405965
63.4001,-0.000582100823611
63.5001,-0.000497019760324
63.6001,-0.000408586653394
63.7001,-0.00031779479574
63.8001,-0.000225583169499
63.9001,-0.00013288394992
64.0001,-4.06781418643e-05
64.1001,5.01499852229e-05
64.2001,0.000138659531633
64.3001,0.000224069048322
64.4001,0.000305564915239
64.5001,0.000382408228524
64.6001,0.000453898516212
64.7001,0.00051946903535
64.8001,0.000578612618
64.9001,0.000630847150651
65.0001,0.000675761509123
65.1001,0.000713078262309
65.2001,0.00074262401817
65.3001,0.000764237288297
65.4001,0.000777815056099
65.5001,0.000783394772143
65.6001,0.000781135625937
65.7001,0.000771205550116
65.8001,0.000753793901317
65.9001,0.000729232834396
66.0001,0.000697954797913
66.1001,0.000660411888478
66.2001,0.000617030440637
66.3001,0.000568371873798
66.4001,0.000515060258288
66.5001,0.000457751829644
66.6001,0.000397068726789
66.7001,0.000333653436883
66.8001,0.000268205873198
66.9001,0.000201372285878
67.0001,0.000133848737047
67.1001,6.63014320339e-05
67.2001,-6.13541265567e-07
67.3001,-6.62278240237e-05
67.4001,-0.000129947651206
67.5001,-0.000191142216943
67.6001,-0.000249280709331
67.7001,-0.000303880515417
67.8001,-0.00035440497546
67.9001,-0.000400523208653
68.0001,-0.000441716266899
68.1001,-0.00047786397201
68.2001,-0.000508526491019
68.3001,-0.000533616331905
68.4001,-0.000552945253343
68.5001,-0.000566350261301
68.6001,-0.000573872017596
68.7001,-0.000575474098887
68.8001,-0.000571337316929
68.9001,-0.000561622323958
69.0001,-0.000546485188545
69.1001,-0.000526199852817
69.2001,-0.000501082727864
69.3001,-0.000471502208381
69.4001,-0.000437850879972
69.5001,-0.00040050474551
69.6001,-0.000359932917913
69.7001,-0.000316593049307
69.8001,-0.000270995482759
69.9001,-0.000223625862372
